Dataset,Scenario,Run,Method,Seed,F1,P,R
BC5CDR,5%,run2,COSINER+iBUS,64,85.8936,82.5669,89.4996
BC5CDR,5%,run2,COSINER+iBUS,128,86.4446,82.3106,91.0159
BC5CDR,5%,run2,COSINER+iBUS,256,86.9028,84.6389,89.2911
BC5CDR,5%,run2,COSINER+iBUS,512,86.5878,84.4505,88.8362
BC5CDR,5%,run2,COSINER+iBUS,1024,87.4282,84.2262,90.8832
BC5CDR,5%,run2,ADAMER Only,64,85.8514,82.1695,89.8787
BC5CDR,5%,run2,ADAMER Only,128,86.2674,82.5199,90.3715
BC5CDR,5%,run2,ADAMER Only,256,87.5206,84.8275,90.3904
BC5CDR,5%,run2,ADAMER Only,512,85.8215,82.9881,88.8552
BC5CDR,5%,run2,ADAMER Only,1024,86.8949,83.4176,90.6748
BC5CDR,5%,run2,ADAMER+iBUS,64,86.8845,84.4516,89.4617
BC5CDR,5%,run2,ADAMER+iBUS,128,86.8508,84.4556,89.3859
BC5CDR,5%,run2,ADAMER+iBUS,256,87.9268,85.0239,91.0349
BC5CDR,5%,run2,ADAMER+iBUS,512,86.9502,83.8437,90.2957
BC5CDR,5%,run2,ADAMER+iBUS,1024,88.054,86.0242,90.182
BC5CDR,5%,run2,iBUS+ADAMER,64,86.7332,83.1999,90.58
BC5CDR,5%,run2,iBUS+ADAMER,128,87.1481,85.1919,89.1964
BC5CDR,5%,run2,iBUS+ADAMER,256,87.1352,86.2851,88.0023
BC5CDR,5%,run2,iBUS+ADAMER,512,86.4683,85.3974,87.5663
BC5CDR,5%,run2,iBUS+ADAMER,1024,87.1781,83.8439,90.7885
