Dataset,Scenario,Run,Method,Seed,F1,P,R
BC2GM,5%,run2,COSINER+iBUS,64,70.1966,65.5297,75.5793
BC2GM,5%,run2,COSINER+iBUS,128,70.126,65.7476,75.1292
BC2GM,5%,run2,COSINER+iBUS,256,70.3191,65.5431,75.846
BC2GM,5%,run2,COSINER+iBUS,512,68.9834,65.1504,73.2955
BC2GM,5%,run2,COSINER+iBUS,1024,68.7448,62.8138,75.9127
BC2GM,5%,run2,ADAMER Only,64,70.4343,66.8062,74.4791
BC2GM,5%,run2,ADAMER Only,128,70.0188,65.9449,74.6291
BC2GM,5%,run2,ADAMER Only,256,71.1517,66.9657,75.896
BC2GM,5%,run2,ADAMER Only,512,71.6689,67.5317,76.3461
BC2GM,5%,run2,ADAMER Only,1024,70.1236,64.3076,77.0962
BC2GM,5%,run2,ADAMER+iBUS,64,71.1575,68.1895,74.3957
BC2GM,5%,run2,ADAMER+iBUS,128,68.869,65.1973,72.9788
BC2GM,5%,run2,ADAMER+iBUS,256,72.0665,66.9624,78.013
BC2GM,5%,run2,ADAMER+iBUS,512,70.8432,67.1798,74.9292
BC2GM,5%,run2,ADAMER+iBUS,1024,70.672,66.5831,75.2959
BC2GM,5%,run2,iBUS+ADAMER,64,71.5462,67.5756,76.0127
BC2GM,5%,run2,iBUS+ADAMER,128,70.6363,65.6595,76.4294
BC2GM,5%,run2,iBUS+ADAMER,256,71.9017,66.6904,77.9963
BC2GM,5%,run2,iBUS+ADAMER,512,71.6535,67.5827,76.246
BC2GM,5%,run2,iBUS+ADAMER,1024,70.7271,65.0925,77.4296
