Dataset,Scenario,Run,Method,Seed,F1,P,R
BC2GM,10%,run2,COSINER+iBUS,64,73.6188,69.7331,77.963
BC2GM,10%,run2,COSINER+iBUS,128,72.8297,68.6541,77.5463
BC2GM,10%,run2,COSINER+iBUS,256,73.9247,70.0822,78.213
BC2GM,10%,run2,COSINER+iBUS,512,73.128,68.4088,78.5464
BC2GM,10%,run2,COSINER+iBUS,1024,73.1115,67.8215,79.2965
BC2GM,10%,run2,ADAMER Only,64,75.3939,71.1601,80.1634
BC2GM,10%,run2,ADAMER Only,128,76.0377,71.9536,80.6134
BC2GM,10%,run2,ADAMER Only,256,75.5968,72.1029,79.4466
BC2GM,10%,run2,ADAMER Only,512,75.8506,72.4966,79.5299
BC2GM,10%,run2,ADAMER Only,1024,75.0434,71.2232,79.2965
BC2GM,10%,run2,ADAMER+iBUS,64,75.662,72.1391,79.5466
BC2GM,10%,run2,ADAMER+iBUS,128,76.2915,73.6352,79.1465
BC2GM,10%,run2,ADAMER+iBUS,256,75.8593,72.5681,79.4632
BC2GM,10%,run2,ADAMER+iBUS,512,76.4593,73.2915,79.9133
BC2GM,10%,run2,ADAMER+iBUS,1024,75.248,70.7966,80.2967
BC2GM,10%,run2,iBUS+ADAMER,64,74.7111,69.8521,80.2967
BC2GM,10%,run2,iBUS+ADAMER,128,75.7559,72.9985,78.7298
BC2GM,10%,run2,iBUS+ADAMER,256,75.5016,72.5276,78.7298
BC2GM,10%,run2,iBUS+ADAMER,512,75.5446,72.4518,78.9132
BC2GM,10%,run2,iBUS+ADAMER,1024,75.0747,71.0922,79.5299
