id,tokens,tags
5914_aug0,"['The', 'data', 'suggest', 'that', 'ras', 'constitutively', 'increases', 'ICP10', 'activity', ',', 'and', 'its', 'TM', 'segment', 'plays', 'a', 'critical', 'role', 'in', 'transformation', '-', 'related', 'signaling', 'pathways', '.']","['O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5914_aug1,"['The', 'data', 'suggest', 'that', 'p56', 'constitutively', 'increases', 'p56', 'activity', ',', 'and', 'its', 'TM', 'segment', 'plays', 'a', 'critical', 'role', 'in', 'transformation', '-', 'related', 'signaling', 'pathways', '.']","['O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5914_aug2,"['The', 'data', 'suggest', 'that', 'lck', 'constitutively', 'increases', 'lck', 'activity', ',', 'and', 'its', 'TM', 'segment', 'plays', 'a', 'critical', 'role', 'in', 'transformation', '-', 'related', 'signaling', 'pathways', '.']","['O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5914_aug3,"['The', 'data', 'suggest', 'that', 'Raf', 'constitutively', 'increases', 'Raf', 'activity', ',', 'and', 'its', 'TM', 'segment', 'plays', 'a', 'critical', 'role', 'in', 'transformation', '-', 'related', 'signaling', 'pathways', '.']","['O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5914_aug4,"['The', 'data', 'suggest', 'that', 'MAPK', 'constitutively', 'increases', 'MAPK', 'activity', ',', 'and', 'its', 'TM', 'segment', 'plays', 'a', 'critical', 'role', 'in', 'transformation', '-', 'related', 'signaling', 'pathways', '.']","['O', 'O', 'O', 'O', 'B-Disease', 'O', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5298_aug0,"['The', 'expression', 'of', 'this', 'clone', 'in', 'a', 'mik1', '/', 'wee1', '-', 'deficient', 'mutant', 'causes', 'an', 'elongated', 'cell', 'phenotype', 'under', 'non', '-', 'permissive', 'growth', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5298_aug1,"['The', 'expression', 'of', 'this', 'clone', 'in', 'a', 'REST', '/', 'REST', '-', 'deficient', 'mutant', 'causes', 'an', 'elongated', 'cell', 'phenotype', 'under', 'non', '-', 'permissive', 'growth', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5298_aug2,"['The', 'expression', 'of', 'this', 'clone', 'in', 'a', 'NRSF', '/', 'NRSF', '-', 'deficient', 'mutant', 'causes', 'an', 'elongated', 'cell', 'phenotype', 'under', 'non', '-', 'permissive', 'growth', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5298_aug3,"['The', 'expression', 'of', 'this', 'clone', 'in', 'a', 'Dll3', '/', 'Dll3', '-', 'deficient', 'mutant', 'causes', 'an', 'elongated', 'cell', 'phenotype', 'under', 'non', '-', 'permissive', 'growth', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5298_aug4,"['The', 'expression', 'of', 'this', 'clone', 'in', 'a', 'mouse', 'mutant', 'mouse', 'mutant', 'pudgy', '/', 'mik1', '-', 'deficient', 'mutant', 'causes', 'an', 'elongated', 'cell', 'phenotype', 'under', 'non', '-', 'permissive', 'growth', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Disease', 'I-Disease', 'B-Disease', 'I-Disease', 'I-Disease', 'O', 'B-Disease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
