Dataset,Scenario,Run,Method,Seed,F1,P,R
BC5CDR,10%,run1,No Augmentation,64,87.7452,86.5009,89.0258
BC5CDR,10%,run1,No Augmentation,128,87.5722,84.8409,90.4852
BC5CDR,10%,run1,No Augmentation,256,88.4562,86.5856,90.4094
BC5CDR,10%,run1,No Augmentation,512,88.5041,86.0932,91.0538
BC5CDR,10%,run1,No Augmentation,1024,88.7139,86.7839,90.7316
BC5CDR,10%,run1,iBUS Only,64,87.7981,85.6911,90.0114
BC5CDR,10%,run1,iBUS Only,128,88.1244,85.6122,90.7885
BC5CDR,10%,run1,iBUS Only,256,88.5834,86.8646,90.3715
BC5CDR,10%,run1,iBUS Only,512,88.1378,85.722,90.6937
BC5CDR,10%,run1,iBUS Only,1024,88.9442,86.5364,91.4898
BC5CDR,10%,run1,COSINER Only,64,87.8876,84.7046,91.3192
BC5CDR,10%,run1,COSINER Only,128,87.9356,84.9744,91.1107
BC5CDR,10%,run1,COSINER Only,256,87.9271,83.8521,92.4185
BC5CDR,10%,run1,COSINER Only,512,87.9825,84.832,91.376
BC5CDR,10%,run1,COSINER Only,1024,88.4837,85.6358,91.5277
BC5CDR,10%,run1,iBUS+COSINER,64,87.1461,84.3412,90.144
BC5CDR,10%,run1,iBUS+COSINER,128,87.1474,83.5624,91.0538
BC5CDR,10%,run1,iBUS+COSINER,256,87.1846,83.11,91.6793
BC5CDR,10%,run1,iBUS+COSINER,512,87.5614,84.1489,91.2623
BC5CDR,10%,run1,iBUS+COSINER,1024,88.1347,84.7567,91.793
