Dataset,Scenario,Run,Method,Seed,F1,P,R
BC5CDR,5%,run1,No Augmentation,64,84.9706,83.6671,86.3154
BC5CDR,5%,run1,No Augmentation,128,86.0279,84.472,87.6422
BC5CDR,5%,run1,No Augmentation,256,86.7807,84.2556,89.4617
BC5CDR,5%,run1,No Augmentation,512,86.5308,86.1247,86.9409
BC5CDR,5%,run1,No Augmentation,1024,86.99,86.2924,87.699
BC5CDR,5%,run1,iBUS Only,64,85.7383,84.5148,86.9977
BC5CDR,5%,run1,iBUS Only,128,85.7196,83.9143,87.6042
BC5CDR,5%,run1,iBUS Only,256,86.4264,84.5387,88.4003
BC5CDR,5%,run1,iBUS Only,512,86.4098,85.0689,87.7938
BC5CDR,5%,run1,iBUS Only,1024,86.6462,85.2246,88.116
BC5CDR,5%,run1,COSINER Only,64,86.5483,82.4833,91.0349
BC5CDR,5%,run1,COSINER Only,128,86.3021,82.3631,90.6368
BC5CDR,5%,run1,COSINER Only,256,87.036,84.0692,90.2199
BC5CDR,5%,run1,COSINER Only,512,86.7551,83.3043,90.5042
BC5CDR,5%,run1,COSINER Only,1024,86.9138,83.4846,90.6368
BC5CDR,5%,run1,iBUS+COSINER,64,86.4115,82.3126,90.9401
BC5CDR,5%,run1,iBUS+COSINER,128,85.8295,81.4147,90.7506
BC5CDR,5%,run1,iBUS+COSINER,256,86.4635,82.6734,90.6179
BC5CDR,5%,run1,iBUS+COSINER,512,85.8327,83.4946,88.3055
BC5CDR,5%,run1,iBUS+COSINER,1024,85.2468,81.0843,89.8597
