Dataset,Scenario,Run,Method,Seed,F1,P,R
BC2GM,5%,run1,No Augmentation,64,71.2842,66.7881,76.4294
BC2GM,5%,run1,No Augmentation,128,71.2439,67.5789,75.3292
BC2GM,5%,run1,No Augmentation,256,70.4201,67.2429,73.9123
BC2GM,5%,run1,No Augmentation,512,70.0,64.8203,76.0793
BC2GM,5%,run1,No Augmentation,1024,69.478,66.4637,72.7788
BC2GM,5%,run1,iBUS Only,64,71.4096,67.1114,76.296
BC2GM,5%,run1,iBUS Only,128,70.1436,66.5918,74.0957
BC2GM,5%,run1,iBUS Only,256,71.5333,67.8582,75.6293
BC2GM,5%,run1,iBUS Only,512,71.3252,66.8856,76.3961
BC2GM,5%,run1,iBUS Only,1024,70.2686,65.4305,75.8793
BC2GM,5%,run1,COSINER Only,64,69.5907,64.7261,75.2459
BC2GM,5%,run1,COSINER Only,128,69.1166,64.141,74.9292
BC2GM,5%,run1,COSINER Only,256,69.6009,64.93,74.9958
BC2GM,5%,run1,COSINER Only,512,70.5662,66.3051,75.4126
BC2GM,5%,run1,COSINER Only,1024,69.3414,64.6533,74.7625
BC2GM,5%,run1,iBUS+COSINER,64,69.5268,65.0268,74.6958
BC2GM,5%,run1,iBUS+COSINER,128,69.997,64.3506,76.7295
BC2GM,5%,run1,iBUS+COSINER,256,69.9443,64.5211,76.3627
BC2GM,5%,run1,iBUS+COSINER,512,70.0647,63.8885,77.5629
BC2GM,5%,run1,iBUS+COSINER,1024,69.2606,63.6453,75.9627
