Dataset,Scenario,Run,Method,Seed,F1,P,R
NCBI Disease,2%,full,No Augmentation,64,65.5242,63.1068,68.1342
NCBI Disease,2%,full,No Augmentation,128,64.433,63.3874,65.5136
NCBI Disease,2%,full,No Augmentation,256,67.2225,66.8394,67.6101
NCBI Disease,2%,full,No Augmentation,512,63.7622,62.3872,65.1992
NCBI Disease,2%,full,No Augmentation,1024,65.0407,67.3401,62.8931
NCBI Disease,2%,full,iBUS Only,64,65.3731,62.2159,68.8679
NCBI Disease,2%,full,iBUS Only,128,65.5925,65.0515,66.1426
NCBI Disease,2%,full,iBUS Only,256,67.0374,64.7461,69.4969
NCBI Disease,2%,full,iBUS Only,512,66.563,65.8462,67.2956
NCBI Disease,2%,full,iBUS Only,1024,63.8407,62.251,65.5136
NCBI Disease,2%,full,COSINER Only,64,67.1113,65.7286,68.5535
NCBI Disease,2%,full,COSINER Only,128,67.2682,64.4573,70.3354
NCBI Disease,2%,full,COSINER Only,256,66.2109,61.9744,71.0692
NCBI Disease,2%,full,COSINER Only,512,63.794,60.4695,67.5052
NCBI Disease,2%,full,COSINER Only,1024,65.3693,62.381,68.6583
NCBI Disease,2%,full,iBUS+COSINER,64,68.9034,65.9636,72.1174
NCBI Disease,2%,full,iBUS+COSINER,128,64.5709,61.619,67.8197
NCBI Disease,2%,full,iBUS+COSINER,256,65.302,62.3451,68.5535
NCBI Disease,2%,full,iBUS+COSINER,512,65.3042,59.7391,72.0126
NCBI Disease,2%,full,iBUS+COSINER,1024,66.2136,61.6637,71.4885
NCBI Disease,2%,full,COSINER+iBUS,64,67.2336,64.3062,70.4403
NCBI Disease,2%,full,COSINER+iBUS,128,64.4809,61.2842,68.0294
NCBI Disease,2%,full,COSINER+iBUS,256,64.6855,61.3146,68.4486
NCBI Disease,2%,full,COSINER+iBUS,512,68.0726,63.9631,72.7463
NCBI Disease,2%,full,COSINER+iBUS,1024,62.1118,57.0676,68.1342
NCBI Disease,2%,full,ADAMER Only,64,64.7177,62.3301,67.2956
NCBI Disease,2%,full,ADAMER Only,128,68.1174,65.8513,70.5451
NCBI Disease,2%,full,ADAMER Only,256,66.9137,67.5936,66.2474
NCBI Disease,2%,full,ADAMER Only,512,62.3232,60.1365,64.6751
NCBI Disease,2%,full,ADAMER Only,1024,68.1474,65.7254,70.7547
NCBI Disease,2%,full,ADAMER+iBUS,64,66.7003,64.2095,69.392
NCBI Disease,2%,full,ADAMER+iBUS,128,67.6157,65.6466,69.7065
NCBI Disease,2%,full,ADAMER+iBUS,256,65.2855,63.0244,67.7149
NCBI Disease,2%,full,ADAMER+iBUS,512,67.128,63.5173,71.174
NCBI Disease,2%,full,ADAMER+iBUS,1024,64.6918,59.4381,70.9644
NCBI Disease,2%,full,iBUS+ADAMER,64,65.1023,62.1544,68.3438
NCBI Disease,2%,full,iBUS+ADAMER,128,66.2162,65.6701,66.7715
NCBI Disease,2%,full,iBUS+ADAMER,256,68.6489,68.3281,68.9727
NCBI Disease,2%,full,iBUS+ADAMER,512,66.4311,64.0701,68.9727
NCBI Disease,2%,full,iBUS+ADAMER,1024,67.8322,64.7901,71.174
