Dataset,Scenario,Run,Method,Seed,F1,P,R
BC2GM,10%,run1,No Augmentation,64,75.6623,72.7679,78.7965
BC2GM,10%,run1,No Augmentation,128,75.65,73.1476,78.3297
BC2GM,10%,run1,No Augmentation,256,75.9608,73.3654,78.7465
BC2GM,10%,run1,No Augmentation,512,75.8692,72.5723,79.4799
BC2GM,10%,run1,No Augmentation,1024,74.7661,71.8635,77.913
BC2GM,10%,run1,iBUS Only,64,75.1792,71.9908,78.6631
BC2GM,10%,run1,iBUS Only,128,75.6928,72.2778,79.4466
BC2GM,10%,run1,iBUS Only,256,75.7759,73.3687,78.3464
BC2GM,10%,run1,iBUS Only,512,75.867,72.1021,80.0467
BC2GM,10%,run1,iBUS Only,1024,75.3198,71.5464,79.5133
BC2GM,10%,run1,COSINER Only,64,73.2816,69.1568,77.9297
BC2GM,10%,run1,COSINER Only,128,73.9709,69.7153,78.7798
BC2GM,10%,run1,COSINER Only,256,73.2089,70.2066,76.4794
BC2GM,10%,run1,COSINER Only,512,74.661,70.8302,78.9298
BC2GM,10%,run1,COSINER Only,1024,73.3688,69.1287,78.163
BC2GM,10%,run1,iBUS+COSINER,64,73.6735,69.6188,78.2297
BC2GM,10%,run1,iBUS+COSINER,128,73.7178,69.1387,78.9465
BC2GM,10%,run1,iBUS+COSINER,256,73.9107,69.4143,79.0298
BC2GM,10%,run1,iBUS+COSINER,512,74.6478,69.3562,80.8135
BC2GM,10%,run1,iBUS+COSINER,1024,74.6637,70.3196,79.5799
