Dataset,Scenario,Run,Method_A,Method_B,F1_A_pct,F1_B_pct,Delta_pct,N_seeds,Shapiro_p_diff,Test_Used,p_raw,Effect_Size,Effect_Type,Magnitude,CI95_low_diff_pct,CI95_high_diff_pct,p_Bonferroni,p_BH_FDR,Sig_Bonferroni,Sig_BH_FDR
NCBI,10%,full,No Augmentation,iBUS Only,78.7357,79.7461,-1.0105,5,0.086471,paired_t,0.203335,-0.6794,cohens_d_z,Medium,-2.8571,0.8362,1.0,0.569337,ns,ns
NCBI,10%,full,No Augmentation,COSINER Only,78.7357,78.9604,-0.2247,5,0.860875,paired_t,0.828471,-0.1034,cohens_d_z,Negligible,-2.9228,2.4733,1.0,0.932366,ns,ns
NCBI,10%,full,No Augmentation,iBUS+COSINER,78.7357,78.8511,-0.1154,5,0.852912,paired_t,0.903928,-0.0575,cohens_d_z,Negligible,-2.6078,2.3771,1.0,0.932366,ns,ns
NCBI,10%,full,No Augmentation,COSINER+iBUS,78.7357,78.523,0.2127,5,0.26709,paired_t,0.834326,0.0998,cohens_d_z,Negligible,-2.4329,2.8582,1.0,0.932366,ns,ns
NCBI,10%,full,No Augmentation,ADAMER Only,78.7357,79.2087,-0.473,5,0.715914,paired_t,0.530235,-0.3069,cohens_d_z,Small,-2.3867,1.4406,1.0,0.781398,ns,ns
NCBI,10%,full,No Augmentation,ADAMER+iBUS,78.7357,78.8149,-0.0792,5,0.51128,paired_t,0.932366,-0.0404,cohens_d_z,Negligible,-2.5135,2.3551,1.0,0.932366,ns,ns
NCBI,10%,full,No Augmentation,iBUS+ADAMER,78.7357,80.0743,-1.3387,5,0.325238,paired_t,0.163749,-0.7617,cohens_d_z,Medium,-3.5209,0.8436,1.0,0.569337,ns,ns
NCBI,10%,full,iBUS Only,COSINER Only,79.7461,78.9604,0.7857,5,0.489033,paired_t,0.24533,0.6084,cohens_d_z,Medium,-0.8179,2.3894,1.0,0.624476,ns,ns
NCBI,10%,full,iBUS Only,iBUS+COSINER,79.7461,78.8511,0.8951,5,0.945932,paired_t,0.094724,0.975,cohens_d_z,Large,-0.2448,2.0349,1.0,0.429198,ns,ns
NCBI,10%,full,iBUS Only,COSINER+iBUS,79.7461,78.523,1.2231,5,0.606305,paired_t,0.019269,1.6949,cohens_d_z,Large,0.3271,2.1191,0.539535,0.179845,ns,ns
NCBI,10%,full,iBUS Only,ADAMER Only,79.7461,79.2087,0.5374,5,0.454123,paired_t,0.399225,0.4216,cohens_d_z,Small,-1.0455,2.1203,1.0,0.667693,ns,ns
NCBI,10%,full,iBUS Only,ADAMER+iBUS,79.7461,78.8149,0.9313,5,0.223392,paired_t,0.18392,0.7175,cohens_d_z,Medium,-0.6804,2.5429,1.0,0.569337,ns,ns
NCBI,10%,full,iBUS Only,iBUS+ADAMER,79.7461,80.0743,-0.3282,5,0.650066,paired_t,0.39056,-0.4302,cohens_d_z,Small,-1.2755,0.6191,1.0,0.667693,ns,ns
NCBI,10%,full,COSINER Only,iBUS+COSINER,78.9604,78.8511,0.1093,5,0.322517,paired_t,0.642259,0.2244,cohens_d_z,Small,-0.4957,0.7144,1.0,0.817421,ns,ns
NCBI,10%,full,COSINER Only,COSINER+iBUS,78.9604,78.523,0.4374,5,0.763482,paired_t,0.405385,0.4155,cohens_d_z,Small,-0.8695,1.7443,1.0,0.667693,ns,ns
NCBI,10%,full,COSINER Only,ADAMER Only,78.9604,79.2087,-0.2483,5,0.130715,paired_t,0.560982,-0.2832,cohens_d_z,Small,-1.3371,0.8404,1.0,0.78142,ns,ns
NCBI,10%,full,COSINER Only,ADAMER+iBUS,78.9604,78.8149,0.1455,5,0.98996,paired_t,0.755587,0.1491,cohens_d_z,Negligible,-1.0664,1.3574,1.0,0.919845,ns,ns
NCBI,10%,full,COSINER Only,iBUS+ADAMER,78.9604,80.0743,-1.1139,5,0.711638,paired_t,0.059637,-1.1657,cohens_d_z,Large,-2.3005,0.0726,1.0,0.35,ns,ns
NCBI,10%,full,iBUS+COSINER,COSINER+iBUS,78.8511,78.523,0.3281,5,0.580963,paired_t,0.29247,0.5417,cohens_d_z,Medium,-0.4239,1.08,1.0,0.667693,ns,ns
NCBI,10%,full,iBUS+COSINER,ADAMER Only,78.8511,79.2087,-0.3576,5,0.842252,paired_t,0.435817,-0.3869,cohens_d_z,Small,-1.5056,0.7903,1.0,0.677938,ns,ns
NCBI,10%,full,iBUS+COSINER,ADAMER+iBUS,78.8511,78.8149,0.0362,5,0.92613,paired_t,0.919603,0.0481,cohens_d_z,Negligible,-0.8989,0.9713,1.0,0.932366,ns,ns
NCBI,10%,full,iBUS+COSINER,iBUS+ADAMER,78.8511,80.0743,-1.2233,5,0.606928,paired_t,0.00641,-2.3363,cohens_d_z,Large,-1.8734,-0.5731,0.179472,0.089736,ns,ns
NCBI,10%,full,COSINER+iBUS,ADAMER Only,78.523,79.2087,-0.6857,5,0.36517,paired_t,0.337655,-0.4867,cohens_d_z,Small,-2.4351,1.0637,1.0,0.667693,ns,ns
NCBI,10%,full,COSINER+iBUS,ADAMER+iBUS,78.523,78.8149,-0.2919,5,0.220594,paired_t,0.586065,-0.2645,cohens_d_z,Small,-1.6621,1.0784,1.0,0.78142,ns,ns
NCBI,10%,full,COSINER+iBUS,iBUS+ADAMER,78.523,80.0743,-1.5513,5,0.530182,paired_t,0.005439,-2.4457,cohens_d_z,Large,-2.3389,-0.7637,0.152285,0.089736,ns,ns
NCBI,10%,full,ADAMER Only,ADAMER+iBUS,79.2087,78.8149,0.3938,5,0.79452,paired_t,0.391553,0.4292,cohens_d_z,Small,-0.7455,1.5332,1.0,0.667693,ns,ns
