Dataset,Scenario,Run,Method,Seed,F1,P,R
NCBI Disease,10%,full,No Augmentation,64,79.3313,76.7647,82.0755
NCBI Disease,10%,full,No Augmentation,128,81.3437,80.2243,82.4948
NCBI Disease,10%,full,No Augmentation,256,79.0249,76.6502,81.5514
NCBI Disease,10%,full,No Augmentation,512,77.4354,73.6295,81.6562
NCBI Disease,10%,full,No Augmentation,1024,76.5432,75.1515,77.9874
NCBI Disease,10%,full,iBUS Only,64,81.2214,78.9318,83.6478
NCBI Disease,10%,full,iBUS Only,128,80.0,77.5591,82.5996
NCBI Disease,10%,full,iBUS Only,256,79.4297,77.2277,81.761
NCBI Disease,10%,full,iBUS Only,512,79.4548,76.631,82.4948
NCBI Disease,10%,full,iBUS Only,1024,78.6248,74.9288,82.7044
NCBI Disease,10%,full,COSINER Only,64,78.8718,74.6954,83.543
NCBI Disease,10%,full,COSINER Only,128,78.9238,75.2137,83.0189
NCBI Disease,10%,full,COSINER Only,256,78.4097,75.4114,81.6562
NCBI Disease,10%,full,COSINER Only,512,78.737,74.3709,83.6478
NCBI Disease,10%,full,COSINER Only,1024,79.8597,76.4875,83.543
NCBI Disease,10%,full,iBUS+COSINER,64,79.1953,74.4465,84.5912
NCBI Disease,10%,full,iBUS+COSINER,128,78.5437,73.1465,84.8008
NCBI Disease,10%,full,iBUS+COSINER,256,78.6368,76.3834,81.0273
NCBI Disease,10%,full,iBUS+COSINER,512,78.8538,74.5794,83.6478
NCBI Disease,10%,full,iBUS+COSINER,1024,79.0258,75.1418,83.3333
NCBI Disease,10%,full,COSINER+iBUS,64,79.7386,76.6184,83.1237
NCBI Disease,10%,full,COSINER+iBUS,128,77.6826,74.7818,80.8176
NCBI Disease,10%,full,COSINER+iBUS,256,78.2953,74.2481,82.8092
NCBI Disease,10%,full,COSINER+iBUS,512,78.7939,74.5557,83.543
NCBI Disease,10%,full,COSINER+iBUS,1024,78.1047,74.5005,82.0755
NCBI Disease,10%,full,ADAMER Only,64,78.8501,77.2636,80.5031
NCBI Disease,10%,full,ADAMER Only,128,80.0821,78.4708,81.761
NCBI Disease,10%,full,ADAMER Only,256,79.6087,78.2389,81.0273
NCBI Disease,10%,full,ADAMER Only,512,78.1377,75.5382,80.9224
NCBI Disease,10%,full,ADAMER Only,1024,79.3651,77.5776,81.2369
NCBI Disease,10%,full,ADAMER+iBUS,64,78.1939,76.5829,79.8742
NCBI Disease,10%,full,ADAMER+iBUS,128,78.6735,76.6402,80.8176
NCBI Disease,10%,full,ADAMER+iBUS,256,79.5866,78.4913,80.7128
NCBI Disease,10%,full,ADAMER+iBUS,512,79.1242,76.9307,81.4465
NCBI Disease,10%,full,ADAMER+iBUS,1024,78.4962,75.2161,82.0755
NCBI Disease,10%,full,iBUS+ADAMER,64,80.5,76.9598,84.3816
NCBI Disease,10%,full,iBUS+ADAMER,128,79.8193,76.5896,83.3333
NCBI Disease,10%,full,iBUS+ADAMER,256,80.5569,76.632,84.9057
NCBI Disease,10%,full,iBUS+ADAMER,512,80.02,76.4313,83.9623
NCBI Disease,10%,full,iBUS+ADAMER,1024,79.4755,76.5792,82.5996
