Dataset,Scenario,Run,Method,Seed,F1,P,R
BC2GM,2%,run1,No Augmentation,64,64.1484,57.9954,71.762
BC2GM,2%,run1,No Augmentation,128,64.5411,58.3434,72.212
BC2GM,2%,run1,No Augmentation,256,65.0686,60.5161,70.3617
BC2GM,2%,run1,No Augmentation,512,65.4892,61.6448,69.845
BC2GM,2%,run1,No Augmentation,1024,65.1253,60.7385,70.195
BC2GM,2%,run1,iBUS Only,64,64.4588,58.7622,71.3786
BC2GM,2%,run1,iBUS Only,128,65.1326,58.8639,72.8955
BC2GM,2%,run1,iBUS Only,256,65.0743,60.1727,70.8451
BC2GM,2%,run1,iBUS Only,512,65.5773,61.2381,70.5784
BC2GM,2%,run1,iBUS Only,1024,65.0233,60.7738,69.9117
BC2GM,2%,run1,COSINER Only,64,63.675,59.3264,68.7115
BC2GM,2%,run1,COSINER Only,128,64.1202,58.1244,71.4952
BC2GM,2%,run1,COSINER Only,256,65.7706,59.5699,73.4122
BC2GM,2%,run1,COSINER Only,512,65.3989,57.9198,75.0958
BC2GM,2%,run1,COSINER Only,1024,64.0249,57.6113,72.0453
BC2GM,2%,run1,iBUS+COSINER,64,63.444,57.855,70.2284
BC2GM,2%,run1,iBUS+COSINER,128,64.6816,58.7947,71.8786
BC2GM,2%,run1,iBUS+COSINER,256,63.842,57.0547,72.4621
BC2GM,2%,run1,iBUS+COSINER,512,64.8388,57.7494,73.9123
BC2GM,2%,run1,iBUS+COSINER,1024,64.1507,57.5918,72.3954
