Dataset,Scenario,Run,Method,Seed,F1,P,R
BC5CDR,2%,run2,COSINER+iBUS,64,83.357,78.4997,88.8552
BC5CDR,2%,run2,COSINER+iBUS,128,82.2604,77.8605,87.1873
BC5CDR,2%,run2,COSINER+iBUS,256,83.4722,79.1405,88.3055
BC5CDR,2%,run2,COSINER+iBUS,512,83.5373,78.5095,89.2532
BC5CDR,2%,run2,COSINER+iBUS,1024,83.5069,78.7213,88.9121
BC5CDR,2%,run2,ADAMER Only,64,82.836,81.7729,83.9272
BC5CDR,2%,run2,ADAMER Only,128,82.8773,80.1274,85.8226
BC5CDR,2%,run2,ADAMER Only,256,83.008,79.3366,87.0356
BC5CDR,2%,run2,ADAMER Only,512,81.731,82.7633,80.724
BC5CDR,2%,run2,ADAMER Only,1024,82.8234,79.0626,86.9598
BC5CDR,2%,run2,ADAMER+iBUS,64,82.4487,82.3163,82.5815
BC5CDR,2%,run2,ADAMER+iBUS,128,83.6928,79.8794,87.8886
BC5CDR,2%,run2,ADAMER+iBUS,256,83.2743,79.8886,86.9598
BC5CDR,2%,run2,ADAMER+iBUS,512,84.5338,83.7707,85.3108
BC5CDR,2%,run2,ADAMER+iBUS,1024,83.2058,79.2589,87.5663
BC5CDR,2%,run2,iBUS+ADAMER,64,82.1286,80.6505,83.6619
BC5CDR,2%,run2,iBUS+ADAMER,128,82.9508,81.0601,84.9318
BC5CDR,2%,run2,iBUS+ADAMER,256,84.4008,81.8036,87.1683
BC5CDR,2%,run2,iBUS+ADAMER,512,84.7314,82.3088,87.301
BC5CDR,2%,run2,iBUS+ADAMER,1024,83.228,80.5354,86.1069
